Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
Pnpla1	1.69068132821621	0.40566817137118	1.22514241060617	2.16078521025775	-0.510526950772606	-0.657177267095858	-0.799399831001809	-0.483680091212185	-0.86318902544461	-0.870302019106537	-0.968866835211504	-0.915320190066955	-0.0174726414600138	-0.433253125798108	0.862633116697403	0.174277740021464
Stk26	1.18286127997357	0.762736240439224	2.29908094270889	1.24150430940189	-0.759783962849681	-0.692810846788526	-0.482226014971914	-0.784669838240438	-0.905593873985439	-0.740237495044053	-0.801495554733988	-1.04369888368815	-0.479886533832048	-0.15779410603137	0.636434905496084	0.72557943214595
Ctxn3	0.639412950048366	3.23081174506306	0.504337719185083	0.530705154137141	-0.144771306065652	-0.20199846946321	-0.58617993157363	0.0188130893862901	-0.699730377675125	-0.799984226474255	-0.694219721828786	-0.499432824332095	-0.886437063795549	-0.137593963862064	-0.64091994492261	0.367187172173034
Htr6	1.02259238254354	1.88144599500298	1.60638714562682	1.02192837616909	-0.73412749756944	-0.775101855821524	-0.889637369697611	-0.684120270702231	-0.972785069054997	-0.860402951740581	-0.93746336824877	-1.04488505084707	-0.0426160674989906	0.419575001317702	0.312818650311938	0.676391950209156
Calcr	1.23429297033194	0.589383707662522	2.69238690804774	1.27372087212294	-0.58937289914752	-0.60619688075949	-0.688872456407007	-0.556466492580306	-0.70555887225371	-0.688292168503284	-0.705374793165499	-0.705993845794727	-0.564175037865465	-0.138358959045596	-0.390242928368052	0.549120875725518
Chat	1.58953823024513	1.56739568852191	1.52395217951753	1.68466117638641	-0.657434415396188	-0.66876269127241	-0.712881040195566	-0.652097965800812	-0.757392830162397	-0.756725319470801	-0.779349830609184	-0.768838283853064	-0.635417551784074	-0.275961731666407	-0.145088711867988	0.444403097407909
Fndc9	1.46324289749569	1.25793790606486	1.56570783552185	1.6201254799081	-0.871981258068386	-0.658144052488591	0.314738338784464	-1.08868241196888	-0.877167125900439	-0.858969366180594	-0.760390185950972	-0.896986143632995	0.427440090032768	-0.22347154054723	-0.71382343120116	0.300422968131507
Kcnh4	1.24428200864917	1.80651421725722	1.30474580291385	1.29084949431455	-0.309816171063526	-0.552014966336462	-1.18206013568572	0.0335571411708155	-1.02063418137952	-0.988971677293606	-1.18610168773754	-1.11117212690335	-0.024961907861368	-0.101966941383794	0.276416997395433	0.521334133943857
Tac1	1.4990274848383	1.33961492173066	1.63670531345655	1.5638441873141	-0.763609617458672	-0.768106563162055	-0.589764075539456	-0.82065171664525	-0.9305811936885	-0.937651208960764	-0.913553275034915	-0.918588701299175	-0.0379457394168321	0.0578746017860779	0.148440151884118	0.434945430195812
Pdyn	0.884885907862923	1.49861989473018	2.11207136146005	0.813044556043973	-1.06235938839881	-0.980977828852212	-0.694686100530552	-1.11039300836584	-0.670553310252916	-0.486368885740598	-0.790548488353589	-0.865105394879616	0.283643548451018	0.181676649381275	-0.0444716980269704	0.931522185471672
AABR07065531.3	1.0286792688052	1.3677982326322	2.29144646045018	1.05345461677802	-0.366281094113434	-0.459084018735452	-0.275675926207972	-0.458596111940527	-0.914835170818424	-0.996358607672944	-1.27495294025113	-1.01465549139357	-0.284509671312467	0.0945480296863511	-0.386819103973598	0.595841528067561
Kcna5	1.16765917094431	1.98131527291268	1.3686949102798	1.22231539746543	-0.693248580454316	-0.627299785730925	-0.718657475453329	-0.710983100124489	-0.981566580527596	-0.914131156988188	-1.06263663894496	-1.06298256225908	0.071302958908679	0.31289502042174	0.127729575918199	0.519593573632043
Arpp21	0.7862658661186	2.48357720103382	1.09102014734583	0.777395612297679	-0.449106575410744	-0.501828314431081	-0.796865751219385	-0.405411635856131	-1.03465021697978	-1.07007786367011	-1.07489771169852	-1.01279889728009	-0.0133527070767775	0.0478683588263816	0.785267980985528	0.387594507014777
