logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
Kndc1	-0.76424912391515	7.68681831323042	6.59163561104416e-15	9.85379400068005e-13	165.240292615163	135.592653202374	167.941957200603	141.762992085046	292.354356695188	238.037317852042	259.732858167831	246.875084562295
Slc29a4	-0.722795920624983	3.55847819418821	2.29507290095659e-07	5.43851001757874e-06	8.3187181581675	10.5121146773895	6.96793580798355	9.41999329780049	12.9554877763179	14.9834236514142	15.9078084234906	14.3001623019233
Arg1	-0.933978173422323	1.974274550719	0.000162074194770092	0.00153512359626014	3.04349967036975	3.68177019606991	1.66262767520739	2.11638014588363	5.45148221933667	5.0468318818674	6.15861654415942	3.43329350815713
Cdkn1c	-0.809090598887125	3.15536865089592	0.000167383576984482	0.00158069490845829	7.96847875131565	8.16414514290114	4.55678730084685	4.90575104533352	13.2685252972993	10.4598612224753	13.2824993571042	7.85325880175692
Ltbp3	-0.607377941986548	6.09893028064105	5.68505662860167e-10	2.82284154576363e-08	61.076487130649	54.1089383577624	52.8911295360141	48.887667988596	93.385510278665	76.3826480872277	86.4521713439442	74.3279347916424
Ltbp3.1	-0.607377941986548	6.09893028064105	5.68505662860167e-10	2.82284154576363e-08	61.076487130649	54.1089383577624	52.8911295360141	48.887667988596	93.385510278665	76.3826480872277	86.4521713439442	74.3279347916424
Cdc42ep2	-0.737021645512547	4.86478784721764	1.02811619343252e-07	2.70039042058202e-06	19.9077366147716	16.2222828005323	27.5948292013132	23.3392260991906	36.1465727213568	33.2745986485856	33.0499871493611	42.6611422047349
Hspb1	-0.874612455453798	2.71747919372207	4.24168145265697e-07	9.24094694150941e-06	5.14935683774466	5.06930568356591	3.53802749839099	4.50077834272299	8.86826117668114	6.56659406168308	9.1053264253915	8.9550414310781
Tmem270	-1.10084121920564	0.926323251319733	0.000349963129591608	0.00291446514593778	1.43651934526266	1.70744686859736	0.483398179422342	0.928723912843258	2.75174215795208	1.62593622305645	3.21270240417037	2.20912330143137
Myrf	-0.735585380372397	7.92973517710639	4.28154014980075e-06	6.89166118957618e-05	179.21967703414	123.639857488392	253.142448239143	175.603363622001	341.835319324303	270.945600438449	273.285718443124	332.130015437838
Orai1	-0.604659236820564	3.08473372653515	0.000347135790694327	0.00289664615845409	7.69632649386078	7.31049806848362	6.10953818258619	5.47699527887071	11.6178753571476	10.2515767981287	11.0335639327836	7.54761721603516
Fam189a2	-0.631858760584418	3.79256985569597	2.29776666449741e-06	4.06141096471919e-05	12.6271923492535	10.725742669789	10.021453756243	9.77401114332882	19.3302014565494	13.8740187152679	17.5151071898482	16.1509203950189
Vsig10	-0.588497710704124	1.50522455001297	0.00150889569897651	0.00999670078360106	2.21702617128819	2.18783750976778	2.14358092709401	2.17288129733142	3.30595486799114	3.25922445106966	3.37444190005551	3.18836265159968
AABR07034833.1	-1.07731519903265	2.00791611942836	4.20273071243868e-10	2.21632994044898e-08	2.49494504062285	2.72141925857997	2.1440934923296	2.69216987637662	5.01667873371893	4.88755103208071	5.67743377220715	5.66175113661512
Pdlim1	-1.02966110393925	2.41213971085556	2.36759891590181e-08	7.4762921272477e-07	3.82041309700885	3.14839704011501	3.26907752481674	3.46683784616308	7.59984766124936	5.14657364645593	7.01691609665504	8.24039471439115
