Gene	DG_logFC	CA_FC	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	Bo_20_5b	Bo_21_5b	Bo_24_5b	Bo_25_5b
Brinp3	Brinp3	-1.126894002	0.619737748	1.01729885106004	0.457321980650976	0.683708158442898	1.00938495569942	-1.5129879837954	-1.81639272752121	-1.00104825189089	-1.49233987347532	-0.860487316706178	-0.58414119533065	-0.0864290293744835	-0.973620622844261	1.47169679393856	0.743772235675082	0.28750561064845	0.8458613873879
Ldb2	Ldb2	-1.13152804	0.585928397	1.76361677334821	-0.0164098603839222	0.31621257984949	0.700283695333014	-1.09769326418746	-1.83735433952732	-0.851214405536128	-0.393151268826447	-0.251970883358259	-0.00391387824050703	1.3616972675837	-0.154319802084442	2.35812029627973	2.44875420694441	0.663417918204895	1.01038500020992
Fign	Fign	-1.155504773	1.381953309	-0.0100274820839947	-0.896007540805265	-0.742296366398956	-0.698350227632982	-1.07590213305191	-1.30288516723689	-1.25941152329344	-0.914565460382114	-1.11189541867425	-1.17813532754604	-1.18328877952879	-1.06527081972166	-0.552598324155174	-0.291165197510281	-0.202588955533185	-0.50636898506699
Ifnlr1	Ifnlr1	-1.172559514	0.593234474	2.72273643766316	-0.146480946836558	0.399562046961127	0.876806851770658	-1.37492474486121	-2.33887829304445	-1.37166108563401	-1.23791013912973	-0.809228573925553	-0.521513443202646	-0.560829122334386	-1.03981604889	1.14893214010508	0.217217248414366	0.829480431151639	0.665063459145163
Arhgap6	Arhgap6	-1.176623535	1.363870877	0.138451712849463	-0.951684002657593	-0.763724607579478	-0.584265120785225	-0.985328074860992	-1.23887484278698	-0.962925788443143	-1.36352977223561	-0.965783870977117	-1.00454895435371	-1.15706994556791	-1.00339476952867	-0.308940547434628	-0.396232210349535	0.378930605598103	-0.222784748438741
Cartpt	Cartpt	-1.177219157	1.81945483	-0.628821745503991	-0.440824476827385	-0.473465685411652	-0.501926157651194	-0.73919760494664	-0.625367548175524	-0.727876671162781	-0.712854065319965	-0.624775206236682	-0.703924597503354	-0.700227302792381	-0.555662632945654	-0.340653491256312	-0.166484170868934	-0.372778541976503	0.410259364179856
Lypd1	Lypd1	-1.183372311	0.931514637	0.570552320252413	-0.997977667118148	-0.768162727624015	-0.424161232816341	-1.07377248708106	-1.53821398767935	-0.669350048394221	-1.44415937263879	-1.03408907903648	-1.023750821636	-0.920860103044013	-1.01739854170757	-0.262496065285301	-0.115367479181925	-0.117775861229184	-0.627059511576251
Adra2a	Adra2a	-1.185246102	0.857496762	1.10042218169597	0.112719261043936	0.340770987998699	0.806397232497501	-0.800494489026658	-1.24533145069234	0.041473363941367	-1.12099184504969	-0.121366596720963	0.106939203031346	1.1354693364742	-0.116506378354029	2.89503330946591	2.2788453763484	0.780530723515987	2.10685213411688
Itih3	Itih3	-1.193136709	0.87237694	0.209849731654296	0.0202243515138734	0.174541749459378	0.216564888760527	-1.50385827647751	-1.41821668292381	-1.52468747419882	-1.42209302803478	-1.40823431127567	-1.5031058915288	-1.50082943777977	-1.3457216865705	-0.524666391483177	-0.3044334912914	-0.226362994126744	-0.482953925419406
Grin3a	Grin3a	-1.20403449	0.646405647	0.84432810185605	-0.28028555406443	0.00418260083631317	0.339126956726881	-1.54076589608068	-2.00636820477079	-1.21265852171606	-1.47720473132695	-0.677147294378271	-0.765729412818097	0.359686400524682	-0.320847812003967	1.29348576817796	2.20286085150639	-0.0233615566555835	1.01324334601869
